ID,number of incoming elements,duration of download (in ms),duration for reloading nodes (in ms),number of reloaded nodes,number of published elements for subject [all],number of published elements for subject [routing],duration for Filtering for subject [routing] (in ms),number of published elements for subject [search],duration for Filtering for subject [search] (in ms)
2022-03-07T18:28:04+01:00,,,,,5000,0,2,124,4
2022-03-07T18:28:14+01:00,,,,,5000,0,1,112,3
2022-03-07T18:28:24+01:00,,,,,5000,0,0,116,4
2022-03-07T18:28:34+01:00,,,,,5000,0,2,122,4
2022-03-07T18:28:44+01:00,,,,,5000,0,0,116,2
2022-03-07T18:28:54+01:00,,,,,5000,0,2,119,5
2022-03-07T18:29:04+01:00,,,,,5000,0,0,118,3
2022-03-07T18:29:14+01:00,,,,,5000,0,1,120,4
2022-03-07T18:29:25+01:00,,,,,5000,0,0,118,3
2022-03-07T18:30:39+01:00,,,,,5000,0,0,118,3
2022-03-07T18:32:22+01:00,,,,,5000,0,1,122,4
2022-03-07T18:33:20+01:00,,,,,5000,0,1,121,3
2022-03-07T18:34:24+01:00,,,,,5000,0,1,120,4
2022-03-07T18:36:11+01:00,,,,,31,0,0,25,0
2022-03-07T18:36:43+01:00,,,,,31,0,0,25,0
2022-03-07T18:36:53+01:00,,,,,4,4,1,0,0
2022-03-07T18:37:13+01:00,,,,,31,0,0,25,0
2022-03-07T18:37:23+01:00,,,,,4,4,1,0,0
2022-03-07T18:38:08+01:00,,,,,31,0,1,25,1
2022-03-07T18:38:47+01:00,,,,,31,0,0,25,0
2022-03-07T18:39:00+01:00,,,,,31,0,0,25,0
2022-03-07T18:39:54+01:00,,,,,31,0,1,25,0
2022-03-07T18:40:04+01:00,,,,,4,4,2,0,0
2022-03-07T18:40:12+01:00,,,,,31,0,1,25,0
2022-03-07T18:40:22+01:00,,,,,4,4,2,0,0
2022-03-07T18:43:48+01:00,,,,,31,0,1,25,0
2022-03-07T18:43:58+01:00,,,,,4,4,1,0,0
2022-03-07T19:10:23+01:00,,,,,31,0,1,25,0
2022-03-07T19:13:26+01:00,,,,,31,0,1,25,0
2022-03-07T19:13:36+01:00,,,,,4,4,1,0,0
2022-03-07T19:16:46+01:00,,,,,1066,0,0,25,1
2022-03-07T19:16:56+01:00,,,,,4,4,2,0,0
2022-03-07T19:19:02+01:00,,,,,1066,0,1,25,1
2022-03-07T19:19:12+01:00,,,,,4,4,1,0,0
2022-03-07T19:20:13+01:00,,,,,1066,0,1,25,1
2022-03-07T19:20:32+01:00,,,,,1066,0,1,25,1
2022-03-07T19:21:41+01:00,,,,,1066,0,0,25,1
2022-03-07T19:21:51+01:00,,,,,4,4,1,0,0
2022-03-07T19:22:52+01:00,,,,,1066,0,2,25,2
2022-03-07T19:23:02+01:00,,,,,4,4,2,0,0
2022-03-07T19:25:16+01:00,,,,,1066,0,1,25,1
2022-03-07T19:25:26+01:00,,,,,4,4,2,0,0
2022-03-07T19:25:32+01:00,,,,,1066,0,1,25,2
2022-03-07T19:25:42+01:00,,,,,4,4,2,0,0
2022-03-07T19:28:10+01:00,,,,,1699,394,2,297,5
2022-03-07T19:28:20+01:00,,,,,31,0,1,25,0
2022-03-07T19:28:30+01:00,,,,,4,4,2,0,0
2022-03-07T19:58:00+01:00,,,,,49035,36992,142,190,18
2022-03-07T19:58:00+01:00,,,,,41798,33407,149,145,17
2022-03-07T19:58:00+01:00,,,,,43397,32624,175,177,15
2022-03-07T19:58:00+01:00,,,,,45798,23963,173,1188,94
2022-03-07T19:58:01+01:00,,,,,47206,25755,123,779,32
2022-03-07T19:58:01+01:00,,,,,42622,18619,111,1431,233
2022-03-07T19:58:01+01:00,,,,,43701,9898,100,2950,469
2022-03-07T19:58:02+01:00,,,,,50262,10001,76,2796,502
2022-03-07T19:58:02+01:00,,,,,46379,5808,40,1682,213
2022-03-07T19:58:03+01:00,,,,,44767,8953,69,3168,619
2022-03-07T19:58:03+01:00,,,,,46042,8321,50,3787,788
2022-03-07T19:58:04+01:00,,,,,47071,4978,29,3995,779
2022-03-07T19:58:05+01:00,,,,,43268,4092,23,4198,816
2022-03-07T19:58:06+01:00,,,,,40860,5540,38,5404,1136
2022-03-07T19:58:07+01:00,,,,,46542,1741,12,6303,913
2022-03-07T19:58:08+01:00,,,,,36401,668,4,6154,1251
2022-03-07T19:58:10+01:00,,,,,38597,265,4,7646,1767
2022-03-07T19:58:12+01:00,,,,,39986,632,5,6571,1584
2022-03-07T19:58:13+01:00,,,,,41685,2885,14,4539,782
2022-03-07T19:58:13+01:00,,,,,36646,3328,16,4441,768
2022-03-07T19:58:14+01:00,,,,,38394,4685,20,3573,543
2022-03-07T19:58:15+01:00,,,,,62573,4483,25,4071,775
2022-03-07T19:58:15+01:00,,,,,43187,6709,32,3214,381
2022-03-07T19:58:15+01:00,,,,,40147,4117,21,3179,444
2022-03-07T19:58:16+01:00,,,,,37049,2452,27,5507,927
2022-03-07T19:58:17+01:00,,,,,36308,7758,29,3254,375
2022-03-07T19:58:17+01:00,,,,,35207,7040,30,3649,521
2022-03-07T19:58:18+01:00,,,,,38722,3753,20,4936,705
2022-03-07T19:58:19+01:00,,,,,33076,1663,9,6892,1211
2022-03-07T19:58:20+01:00,,,,,33560,4614,25,5576,895
2022-03-07T19:58:21+01:00,,,,,35671,3070,37,4207,572
2022-03-07T19:58:21+01:00,,,,,40203,5750,25,2311,230
2022-03-07T19:58:21+01:00,,,,,35625,6342,27,2702,268
2022-03-07T19:58:21+01:00,,,,,35168,9726,41,1260,55
2022-03-07T19:58:21+01:00,,,,,35321,3366,16,790,32
2022-03-07T19:58:21+01:00,,,,,35312,5262,35,1438,109
2022-03-07T19:58:22+01:00,,,,,36875,3853,21,2354,233
2022-03-07T19:58:22+01:00,,,,,36983,3899,16,2227,225
2022-03-07T19:58:22+01:00,,,,,37490,3766,19,1650,137
2022-03-07T19:58:22+01:00,,,,,39227,7988,37,1425,155
2022-03-07T19:58:22+01:00,,,,,39801,10275,49,1267,88
2022-03-07T19:58:23+01:00,,,,,36054,11034,42,1772,156
2022-03-07T19:58:23+01:00,,,,,36569,16506,61,1678,118
2022-03-07T19:58:23+01:00,,,,,34544,8356,34,1770,116
2022-03-07T19:58:23+01:00,,,,,37359,10560,45,716,27
2022-03-07T19:58:23+01:00,,,,,24394,6574,24,771,31
2022-03-07T19:58:23+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:23+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,3,0,1
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,2,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,2,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,2,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,2,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,2,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,1,0,1
2022-03-07T19:58:24+01:00,,,,,5000,0,3,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,4,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,9,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,12,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,5,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,2,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,3,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,2,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,2,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,3,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,3,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:24+01:00,,,,,5000,0,2,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,3,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,3,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,2,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,2,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,3,0,1
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,3,0,1
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:25+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,1,0,1
2022-03-07T19:58:26+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,1
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,14,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,0,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:26+01:00,,,,,5000,0,1,0,0
2022-03-07T19:58:26+01:00,,,,,3415,0,0,0,0
2022-03-07T19:58:27+01:00,,,,,4174,4174,435,0,0
2022-03-07T20:05:07+01:00,,,,,1699,394,2,297,4
2022-03-07T20:05:07+01:00,,,,,1066,0,1,0,0
2022-03-07T20:05:07+01:00,,,,,4,4,3,0,0
2022-03-07T20:16:19+01:00,,,,,1699,394,3,297,5
2022-03-07T20:16:19+01:00,,,,,1066,0,1,0,0
2022-03-07T20:16:19+01:00,,,,,4,4,3,0,0
2022-03-07T20:24:43+01:00,,,,,1699,394,2,297,4
2022-03-07T20:24:43+01:00,,,,,1066,0,1,0,0
2022-03-07T20:24:43+01:00,,,,,4,4,2,0,0
2022-03-07T20:31:50+01:00,,,,,49035,36992,133,190,17
2022-03-07T20:31:50+01:00,,,,,41798,33407,144,145,15
2022-03-07T20:31:50+01:00,,,,,43397,32624,128,177,8
2022-03-07T20:31:50+01:00,,,,,45798,23963,116,1188,87
2022-03-07T20:31:50+01:00,,,,,47206,25755,131,779,36
2022-03-07T20:31:51+01:00,,,,,42622,18619,76,1431,162
2022-03-07T20:31:51+01:00,,,,,43701,9898,37,2950,345
2022-03-07T20:31:51+01:00,,,,,50262,10001,40,2796,385
2022-03-07T20:31:51+01:00,,,,,46379,5808,29,1682,174
2022-03-07T20:31:52+01:00,,,,,44767,8953,41,3168,513
2022-03-07T20:31:53+01:00,,,,,46042,8321,33,3787,707
2022-03-07T20:31:53+01:00,,,,,47071,4978,20,3995,754
2022-03-07T20:31:54+01:00,,,,,43268,4092,21,4198,836
2022-03-07T20:31:55+01:00,,,,,40860,5540,27,5404,1126
2022-03-07T20:31:56+01:00,,,,,46542,1741,9,6303,925
2022-03-07T20:31:58+01:00,,,,,36401,668,5,6154,1164
2022-03-07T20:31:59+01:00,,,,,38597,265,3,7646,1789
2022-03-07T20:32:01+01:00,,,,,39986,632,5,6571,1599
2022-03-07T20:32:02+01:00,,,,,41685,2885,24,4539,782
2022-03-07T20:32:02+01:00,,,,,36646,3328,14,4441,718
2022-03-07T20:32:03+01:00,,,,,38394,4685,19,3573,515
2022-03-07T20:32:04+01:00,,,,,62573,4483,19,4071,736
2022-03-07T20:32:04+01:00,,,,,43187,6709,38,3214,376
2022-03-07T20:32:04+01:00,,,,,40147,4117,17,3179,420
2022-03-07T20:32:05+01:00,,,,,37049,2452,12,5507,938
2022-03-07T20:32:06+01:00,,,,,36308,7758,37,3254,390
2022-03-07T20:32:06+01:00,,,,,35207,7040,27,3649,501
2022-03-07T20:32:07+01:00,,,,,38722,3753,16,4936,667
2022-03-07T20:32:08+01:00,,,,,33076,1663,8,6892,1161
2022-03-07T20:32:09+01:00,,,,,33560,4614,21,5576,881
2022-03-07T20:32:10+01:00,,,,,35671,3070,14,4207,530
2022-03-07T20:32:10+01:00,,,,,40203,5750,23,2311,213
2022-03-07T20:32:10+01:00,,,,,35625,6342,25,2702,266
2022-03-07T20:32:10+01:00,,,,,35168,9726,36,1260,49
2022-03-07T20:32:10+01:00,,,,,35321,3366,14,790,34
2022-03-07T20:32:10+01:00,,,,,35312,5262,24,1438,68
2022-03-07T20:32:11+01:00,,,,,36875,3853,16,2354,254
2022-03-07T20:32:11+01:00,,,,,36983,3899,16,2227,205
2022-03-07T20:32:11+01:00,,,,,37490,3766,17,1650,120
2022-03-07T20:32:11+01:00,,,,,39227,7988,31,1425,114
2022-03-07T20:32:11+01:00,,,,,39801,10275,44,1267,80
2022-03-07T20:32:11+01:00,,,,,36054,11034,37,1772,137
2022-03-07T20:32:11+01:00,,,,,36569,16506,71,1678,105
2022-03-07T20:32:12+01:00,,,,,34544,8356,30,1770,103
2022-03-07T20:32:12+01:00,,,,,37359,10560,37,716,28
2022-03-07T20:32:12+01:00,,,,,24394,6574,24,771,29
2022-03-07T20:32:12+01:00,,,,,5000,0,2,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,0,0,0
2022-03-07T20:32:12+01:00,,,,,5000,0,1,0,0
